Id_Vente;Date_vente;Valeur_fonciere;Id_bien
2020-000600;2020-01-07;172900;600
2020-000601;2020-01-07;132197;601
2020-000602;2020-01-07;11000;602
2020-000603;2020-01-07;120000;603
2020-000604;2020-01-07;585000;604
2020-000605;2020-01-07;67500;605
2020-000606;2020-01-07;31500;606
2020-000607;2020-01-07;275000;607
2020-000608;2020-01-07;74000;608
2020-000609;2020-01-07;90000;609
2020-000610;2020-01-07;209750;610
2020-000611;2020-01-07;196500;611
2020-000612;2020-01-07;142040;612
2020-000613;2020-01-07;183400;613
2020-000614;2020-01-07;170000;614
2020-000615;2020-01-07;261470;615
2020-000616;2020-01-07;630000;616
2020-000617;2020-01-07;40000;617
2020-000618;2020-01-07;207200;618
2020-000619;2020-01-07;266000;619
2020-000620;2020-01-07;223090;620
2020-000621;2020-01-07;1250000;621
2020-000622;2020-01-07;680000;622
2020-000623;2020-01-07;459000;623
2020-000624;2020-01-07;312000;624
2020-000625;2020-01-07;519000;625
2020-000626;2020-01-07;324000;626
2020-000627;2020-01-07;308729;627
2020-000628;2020-01-07;554690;628
2020-000629;2020-01-07;231000;629
2020-000630;2020-01-07;189000;630
2020-000631;2020-01-07;145000;631
2020-000632;2020-01-07;192500;632
2020-000633;2020-01-07;337000;633
2020-000634;2020-01-07;200000;634
2020-000635;2020-01-07;70000;635
2020-000636;2020-01-07;371270;636
2020-000637;2020-01-07;108600;637
2020-000638;2020-01-07;423000;638
2020-000639;2020-01-07;132500;639
2020-000640;2020-01-07;287000;640
2020-000641;2020-01-07;468000;641
2020-000642;2020-01-07;111500;642
2020-000643;2020-01-07;175000;643
2020-000644;2020-01-07;47500;644
2020-000645;2020-01-07;116000;645
2020-000646;2020-01-07;78500;646
2020-000647;2020-01-07;138500;647
2020-000648;2020-01-07;540000;648
2020-000649;2020-01-07;71500;649
2020-000650;2020-01-07;421280;650
2020-000651;2020-01-07;234000;651
2020-000652;2020-01-07;199120;652
2020-000653;2020-01-07;339200;653
2020-000654;2020-01-07;514142;654
2020-000655;2020-01-07;201813;655
2020-000656;2020-01-07;202500;656
2020-000657;2020-01-07;220000;657
2020-000658;2020-01-07;315000;658
2020-000659;2020-01-07;149000;659
2020-000660;2020-01-07;35000;660
2020-000661;2020-01-08;720000;661
2020-000662;2020-01-08;190000;662
2020-000663;2020-01-08;241030;663
2020-000664;2020-01-08;620000;664
2020-000665;2020-01-08;97500;665
2020-000666;2020-01-08;309000;666
2020-000667;2020-01-08;490000;667
2020-000668;2020-01-08;340750;668
2020-000669;2020-01-08;214700;669
2020-000670;2020-01-08;415000;670
2020-000671;2020-01-08;195000;671
2020-000672;2020-01-08;205000;672
2020-000673;2020-01-08;146880;673
2020-000674;2020-01-08;95000;674
2020-000675;2020-01-08;57000;675
2020-000676;2020-01-08;48420;676
2020-000677;2020-01-08;93500;677
2020-000678;2020-01-08;98000;678
2020-000679;2020-01-08;75500;679
2020-000680;2020-01-08;105000;680
2020-000681;2020-01-08;119800;681
2020-000682;2020-01-08;40000;682
2020-000683;2020-01-08;152000;683
2020-000684;2020-01-08;85000;684
2020-000685;2020-01-08;68000;685
2020-000686;2020-01-08;65748;686
2020-000687;2020-01-08;76500;687
2020-000688;2020-01-08;242000;688
2020-000689;2020-01-08;223400;689
2020-000690;2020-01-08;201400;690
2020-000691;2020-01-08;215000;691
2020-000692;2020-01-08;148000;692
2020-000693;2020-01-08;187000;693
2020-000694;2020-01-08;22000;694
2020-000695;2020-01-08;21750;695
2020-000696;2020-01-08;68500;696
2020-000697;2020-01-08;108000;697
2020-000698;2020-01-08;500000;698
2020-000699;2020-01-08;248910;699
2020-000700;2020-01-08;85800;700
2020-000701;2020-01-08;130000;701
2020-000702;2020-01-08;163400;702
2020-000703;2020-01-08;257500;703
2020-000704;2020-01-08;133200;704
2020-000705;2020-01-08;139000;705
2020-000706;2020-01-08;243000;706
2020-000707;2020-01-08;218000;707
2020-000708;2020-01-08;149400;708
2020-000709;2020-01-08;147800;709
2020-000710;2020-01-08;133900;710
2020-000711;2020-01-08;160000;711
2020-000712;2020-01-08;79000;712
2020-000713;2020-01-08;278400;713
2020-000714;2020-01-08;273600;714
2020-000715;2020-01-08;120930;715
2020-000716;2020-01-08;100000;716
2020-000717;2020-01-08;106500;717
2020-000718;2020-01-08;149000;718
2020-000719;2020-01-08;165200;719
2020-000720;2020-01-08;58000;720
2020-000721;2020-01-08;145000;721
2020-000722;2020-01-08;54500;722
2020-000723;2020-01-08;283000;723
2020-000724;2020-01-08;237000;724
2020-000725;2020-01-08;153190;725
2020-000726;2020-01-08;65210;726
2020-000727;2020-01-08;185000;727
2020-000728;2020-01-08;45082;728
2020-000729;2020-01-08;92000;729
2020-000730;2020-01-08;141000;730
2020-000731;2020-01-08;43000;731
2020-000732;2020-01-08;138400;732
2020-000733;2020-01-08;78000;733
2020-000734;2020-01-08;141650;734
2020-000735;2020-01-08;61750;735
2020-000736;2020-01-08;92800;736
2020-000737;2020-01-08;106500;737
2020-000738;2020-01-08;93500;738
2020-000739;2020-01-08;142000;739
2020-000740;2020-01-08;36900;740
2020-000741;2020-01-08;145000;741
2020-000742;2020-01-08;45000;742
2020-000743;2020-01-08;157000;743
2020-000744;2020-01-08;243010;744
2020-000745;2020-01-08;155490;745
2020-000746;2020-01-08;235294;746
2020-000747;2020-01-08;740000;747
2020-000748;2020-01-08;254000;748
2020-000749;2020-01-08;119000;749
2020-000750;2020-01-08;26500;750
2020-000751;2020-01-08;17000;751
2020-000752;2020-01-08;221775;752
2020-000753;2020-01-08;105000;753
2020-000754;2020-01-08;236538;754
2020-000755;2020-01-08;572500;755
2020-000756;2020-01-08;370000;756
