Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","101.100797","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","100.40127","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","102.003824","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","102.118292","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","102.90685","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","102.493493","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","682","Arabie saoudite","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","96.753282","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","682","Arabie saoudite","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","97.326404","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","682","Arabie saoudite","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","97.451448","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","682","Arabie saoudite","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","98.128773","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","682","Arabie saoudite","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","97.878684","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","682","Arabie saoudite","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","98.170455","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","682","Arabie saoudite","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","98.170455","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","682","Arabie saoudite","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","98.170455","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","682","Arabie saoudite","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","98.545589","X","Ciffre de sources internationales","base year is 2015"
